order_id,cost,kiosk_number,date_ordered
202,25.81,3,04/01/2022
203,15.37,2,04/01/2022
204,8.27,1,04/01/2022
205,19.19,4,04/01/2022
206,7.08,1,04/01/2022
207,11.53,1,04/01/2022
208,9.67,4,04/01/2022
209,3.68,2,04/01/2022
210,15.92,4,04/01/2022
211,20.53,2,04/01/2022
212,12.99,1,04/01/2022
213,18.99,4,04/01/2022
214,25.88,4,04/01/2022
215,13.22,4,04/01/2022
216,12.83,4,04/01/2022
217,15.63,1,04/01/2022
218,10.63,1,04/01/2022
219,12.83,2,04/01/2022
220,14.93,3,04/01/2022
221,11.94,2,04/01/2022
222,14.29,2,04/01/2022
223,14.12,4,04/01/2022
224,23.22,2,04/01/2022
225,4.55,2,04/01/2022
226,10.48,3,04/01/2022
227,10.47,3,04/01/2022
228,7.27,3,04/01/2022
229,17.38,3,04/01/2022
230,14.33,1,04/01/2022
231,5.78,2,04/01/2022
232,11.77,3,04/01/2022
233,14.79,3,04/01/2022
234,16.55,2,04/01/2022
235,27.39,3,04/01/2022
236,13.96,4,04/01/2022
237,16.53,2,04/01/2022
238,18.42,2,04/01/2022
239,15.93,4,04/01/2022
240,2.49,1,04/01/2022
241,17.99,1,04/01/2022
242,16.88,3,04/01/2022
243,11.5,2,04/01/2022
244,25.18,2,04/01/2022
245,7.79,4,04/01/2022
246,19.93,4,04/01/2022
247,15.66,4,04/01/2022
248,26.41,1,04/01/2022
249,28.11,4,04/01/2022
250,18.7,2,04/01/2022
251,8.64,2,04/02/2022
252,10.38,1,04/02/2022
253,9.87,1,04/02/2022
254,25.18,2,04/02/2022
255,11.82,1,04/02/2022
256,9.18,3,04/02/2022
257,20.92,3,04/02/2022
258,23.02,4,04/02/2022
259,9.9,2,04/02/2022
260,24.49,2,04/02/2022
261,21.09,3,04/02/2022
262,4.58,2,04/02/2022
263,20.96,1,04/02/2022
264,8.74,3,04/02/2022
265,9.37,3,04/02/2022
266,13.26,2,04/02/2022
267,18.02,2,04/02/2022
268,10.73,1,04/02/2022
269,14.64,2,04/02/2022
270,20.79,2,04/02/2022
271,3.38,1,04/02/2022
272,16.26,3,04/02/2022
273,4.89,2,04/02/2022
274,9.17,2,04/02/2022
275,5.48,4,04/02/2022
276,7.98,2,04/02/2022
277,14.73,4,04/02/2022
278,23.22,3,04/02/2022
279,8.67,2,04/02/2022
280,14.51,1,04/02/2022
281,8.77,3,04/02/2022
282,17.53,4,04/02/2022
283,15.4,1,04/02/2022
284,10.74,2,04/02/2022
285,12.82,4,04/02/2022
286,12.23,2,04/02/2022
287,15.33,4,04/02/2022
288,21.16,3,04/02/2022
289,15.22,4,04/02/2022
290,14.42,2,04/02/2022
291,21.92,1,04/02/2022
292,19.56,3,04/02/2022
293,13.57,4,04/02/2022
294,4.55,3,04/02/2022
295,6.98,4,04/02/2022
296,12.0,1,04/02/2022
297,16.42,2,04/02/2022
298,19.23,4,04/02/2022
299,23.11,3,04/02/2022
300,14.6,4,04/02/2022
301,14.07,4,04/02/2022
302,7.08,4,04/02/2022
303,21.3,2,04/02/2022
304,21.79,4,04/02/2022
305,7.24,3,04/02/2022
306,13.64,1,04/02/2022
307,11.88,1,04/02/2022
308,13.17,1,04/02/2022
309,4.55,1,04/02/2022
310,11.17,4,04/02/2022
311,15.83,4,04/02/2022
312,6.18,2,04/02/2022
313,4.98,1,04/02/2022
314,8.98,4,04/02/2022
315,21.15,1,04/02/2022
316,8.44,2,04/02/2022
317,16.76,1,04/02/2022
318,15.18,2,04/02/2022
319,9.87,3,04/02/2022
320,7.97,4,04/02/2022
321,9.38,4,04/02/2022
322,12.43,2,04/02/2022
323,11.23,3,04/02/2022
324,2.09,4,04/02/2022
325,24.01,2,04/02/2022
326,18.59,2,04/02/2022
327,12.06,1,04/02/2022
328,20.65,1,04/02/2022
329,7.98,4,04/02/2022
330,12.34,1,04/02/2022
331,18.76,1,04/02/2022
332,14.53,3,04/02/2022
333,4.55,3,04/02/2022
334,11.65,4,04/02/2022
335,13.37,3,04/02/2022
336,4.09,3,04/02/2022
337,10.13,1,04/02/2022
338,12.65,2,04/02/2022
339,29.77,3,04/02/2022
340,9.44,1,04/02/2022
341,16.53,3,04/02/2022
342,22.33,4,04/02/2022
343,17.22,3,04/02/2022
344,11.34,1,04/02/2022
345,13.26,1,04/02/2022
346,9.98,3,04/02/2022
347,11.07,4,04/02/2022
348,25.4,2,04/02/2022
349,17.56,1,04/02/2022
350,15.02,3,04/02/2022
351,17.43,3,04/02/2022
352,16.36,2,04/02/2022
353,11.77,4,04/02/2022
354,10.67,3,04/02/2022
355,14.34,3,04/02/2022
356,6.18,4,04/02/2022
357,7.08,3,04/02/2022
358,18.92,4,04/02/2022
359,11.47,4,04/02/2022
360,13.17,1,04/02/2022
361,10.18,1,04/02/2022
362,16.03,4,04/02/2022
363,13.12,1,04/02/2022
364,10.86,2,04/02/2022
365,13.23,2,04/02/2022
366,2.39,4,04/02/2022
367,11.07,3,04/02/2022
368,19.2,1,04/02/2022
369,12.34,2,04/02/2022
370,7.69,3,04/02/2022
371,7.98,3,04/02/2022
372,12.93,4,04/02/2022
373,12.13,3,04/02/2022
374,15.96,1,04/02/2022
375,7.77,1,04/02/2022
376,23.19,1,04/02/2022
377,10.37,3,04/02/2022
378,17.71,2,04/02/2022
379,9.67,3,04/02/2022
380,21.33,3,04/02/2022
381,12.61,1,04/02/2022
382,15.73,1,04/02/2022
383,18.12,3,04/02/2022
384,7.08,1,04/02/2022
385,9.87,3,04/02/2022
386,4.19,2,04/02/2022
387,10.27,2,04/02/2022
388,10.73,2,04/02/2022
389,25.93,2,04/02/2022
390,9.57,3,04/02/2022
391,18.05,1,04/02/2022
392,16.33,2,04/02/2022
393,14.39,4,04/02/2022
394,12.57,4,04/02/2022
395,29.08,3,04/02/2022
396,26.68,1,04/02/2022
397,12.86,1,04/02/2022
398,27.01,4,04/02/2022
399,21.55,1,04/02/2022
400,23.91,3,04/02/2022
401,10.74,3,04/02/2022
402,2.19,3,04/02/2022
403,24.17,1,04/02/2022
404,6.38,1,04/02/2022
405,24.11,4,04/02/2022
406,11.77,4,04/02/2022
407,12.13,1,04/02/2022
408,18.42,1,04/02/2022
409,17.82,1,04/02/2022
410,18.86,2,04/02/2022
411,6.48,1,04/02/2022
412,9.74,4,04/02/2022
413,15.13,2,04/02/2022
414,13.54,3,04/02/2022
415,13.16,2,04/02/2022
416,16.66,2,04/02/2022
417,11.37,3,04/02/2022
418,16.01,2,04/02/2022
419,16.83,4,04/02/2022
420,22.77,1,04/02/2022
421,22.33,3,04/02/2022
422,19.55,4,04/02/2022
423,4.58,1,04/02/2022
424,18.54,4,04/02/2022
425,16.82,2,04/02/2022
426,5.84,2,04/02/2022
427,5.28,3,04/02/2022
428,26.51,2,04/02/2022
429,4.55,2,04/02/2022
430,9.25,4,04/02/2022
431,13.64,2,04/02/2022
432,9.73,4,04/02/2022
433,5.18,3,04/02/2022
434,24.31,1,04/02/2022
435,9.45,2,04/02/2022
436,13.46,1,04/02/2022
437,4.68,2,04/02/2022
438,4.38,1,04/02/2022
439,8.08,1,04/02/2022
440,16.48,4,04/02/2022
441,13.93,2,04/02/2022
442,15.19,2,04/02/2022
443,2.09,3,04/02/2022
444,19.08,3,04/02/2022
445,10.14,2,04/02/2022
446,18.03,4,04/02/2022
447,22.99,4,04/02/2022
448,10.43,1,04/02/2022
449,15.82,1,04/02/2022
450,28.1,2,04/02/2022
451,23.08,3,04/02/2022
452,12.93,2,04/02/2022
453,2.09,2,04/02/2022
454,16.96,1,04/02/2022
455,18.35,4,04/02/2022
456,15.93,1,04/02/2022
457,15.63,4,04/02/2022
458,4.55,3,04/02/2022
459,20.37,3,04/02/2022
460,8.68,3,04/02/2022
461,10.37,2,04/02/2022
462,20.64,3,04/02/2022
463,10.73,4,04/02/2022
464,6.48,1,04/02/2022
465,22.28,2,04/02/2022
466,10.97,3,04/02/2022
467,16.19,1,04/02/2022
468,10.94,4,04/02/2022
469,17.76,3,04/02/2022
470,6.58,2,04/02/2022
471,19.02,4,04/02/2022
472,11.05,1,04/02/2022
473,15.02,1,04/02/2022
474,23.05,4,04/02/2022
475,18.82,2,04/02/2022
476,5.78,1,04/02/2022
477,20.72,1,04/02/2022
478,9.08,1,04/02/2022
479,21.72,3,04/02/2022
480,8.38,4,04/02/2022
481,11.42,4,04/02/2022
482,7.44,1,04/02/2022
483,20.64,1,04/02/2022
484,17.28,1,04/02/2022
485,11.63,1,04/02/2022
486,10.74,3,04/02/2022
487,20.02,2,04/02/2022
488,17.49,4,04/02/2022
489,15.04,4,04/02/2022
490,8.77,4,04/02/2022
491,24.06,2,04/02/2022
492,20.62,3,04/02/2022
493,9.67,3,04/02/2022
494,15.23,3,04/02/2022
495,7.47,2,04/02/2022
496,13.73,2,04/02/2022
497,11.67,2,04/02/2022
498,18.21,3,04/02/2022
499,15.76,2,04/02/2022
500,11.26,3,04/02/2022
501,14.02,1,04/02/2022
502,33.79,2,04/02/2022
503,26.68,4,04/02/2022
504,16.12,1,04/02/2022
505,13.26,1,04/02/2022
506,9.57,2,04/02/2022
507,30.58,3,04/02/2022
508,11.76,2,04/02/2022
509,12.16,4,04/02/2022
510,17.22,3,04/02/2022
511,4.88,3,04/02/2022
512,13.86,1,04/02/2022
513,7.18,4,04/02/2022
514,3.68,3,04/02/2022
515,10.03,3,04/02/2022
516,21.03,1,04/02/2022
517,6.94,2,04/02/2022
518,20.01,1,04/02/2022
519,20.89,4,04/02/2022
520,16.83,3,04/02/2022
521,19.28,2,04/02/2022
522,21.22,3,04/02/2022
523,7.47,1,04/02/2022
524,15.78,4,04/02/2022
525,4.19,1,04/03/2022
526,18.52,1,04/03/2022
527,22.89,1,04/03/2022
528,27.8,4,04/03/2022
529,16.39,1,04/03/2022
530,18.32,2,04/03/2022
531,13.63,2,04/03/2022
532,18.52,4,04/03/2022
533,16.56,4,04/03/2022
534,13.43,1,04/03/2022
535,14.97,4,04/03/2022
536,2.89,1,04/03/2022
537,17.13,2,04/03/2022
538,2.89,3,04/03/2022
539,9.38,1,04/03/2022
540,20.64,3,04/03/2022
541,7.48,2,04/03/2022
542,18.36,3,04/03/2022
543,25.48,4,04/03/2022
544,21.73,2,04/03/2022
545,4.98,4,04/03/2022
546,16.12,4,04/03/2022
547,14.33,4,04/03/2022
548,21.05,2,04/03/2022
549,2.09,1,04/03/2022
550,26.66,2,04/03/2022
551,15.38,1,04/03/2022
552,2.39,3,04/03/2022
553,6.98,2,04/03/2022
554,10.73,4,04/03/2022
555,8.87,4,04/03/2022
556,6.28,1,04/03/2022
557,36.16,4,04/03/2022
558,8.54,4,04/03/2022
559,17.98,3,04/03/2022
560,4.55,3,04/03/2022
561,13.72,2,04/03/2022
562,16.07,4,04/03/2022
563,7.67,2,04/03/2022
564,11.47,4,04/03/2022
565,18.13,4,04/03/2022
566,14.42,2,04/03/2022
567,5.48,2,04/03/2022
568,6.18,4,04/03/2022
569,4.55,1,04/03/2022
570,17.43,3,04/03/2022
571,4.55,4,04/03/2022
572,5.59,4,04/03/2022
573,7.44,1,04/03/2022
574,5.19,2,04/03/2022
575,10.67,3,04/03/2022
576,20.32,1,04/03/2022
577,22.92,3,04/03/2022
578,30.7,1,04/03/2022
579,23.14,4,04/03/2022
580,13.23,1,04/03/2022
581,25.61,2,04/03/2022
582,8.76,1,04/03/2022
583,9.63,4,04/03/2022
584,3.48,2,04/03/2022
585,19.03,4,04/03/2022
586,16.83,4,04/03/2022
587,4.48,3,04/03/2022
588,14.63,2,04/03/2022
589,4.19,3,04/03/2022
590,14.53,3,04/03/2022
591,13.07,2,04/03/2022
592,10.53,3,04/03/2022
593,11.64,3,04/03/2022
594,11.86,2,04/03/2022
595,23.87,2,04/03/2022
596,8.74,3,04/03/2022
597,10.18,3,04/03/2022
598,8.87,1,04/03/2022
599,14.33,3,04/03/2022
600,17.73,4,04/03/2022
601,8.28,1,04/03/2022
602,23.61,1,04/03/2022
603,31.04,1,04/03/2022
604,2.58,3,04/03/2022
605,22.31,1,04/03/2022
606,6.58,3,04/03/2022
607,12.73,3,04/03/2022
608,13.17,2,04/03/2022
609,2.19,4,04/03/2022
610,8.73,2,04/03/2022
611,7.98,3,04/03/2022
612,18.62,3,04/03/2022
613,7.47,3,04/03/2022
614,3.09,4,04/03/2022
615,19.91,2,04/03/2022
616,13.43,3,04/03/2022
617,7.68,2,04/03/2022
618,28.41,1,04/03/2022
619,4.19,4,04/03/2022
620,8.98,3,04/03/2022
621,17.56,1,04/03/2022
622,11.47,4,04/03/2022
623,10.58,2,04/03/2022
624,14.6,2,04/03/2022
625,26.0,2,04/03/2022
626,8.74,1,04/03/2022
627,11.53,1,04/03/2022
628,11.03,1,04/03/2022
629,13.96,2,04/03/2022
630,6.15,4,04/03/2022
631,12.27,3,04/03/2022
632,5.08,1,04/03/2022
633,15.33,4,04/03/2022
634,2.49,1,04/03/2022
635,19.63,3,04/03/2022
636,11.63,2,04/03/2022
637,4.19,3,04/03/2022
638,10.32,4,04/03/2022
639,14.27,2,04/03/2022
640,23.14,3,04/03/2022
641,9.78,2,04/03/2022
642,11.03,1,04/03/2022
643,11.87,3,04/03/2022
644,28.18,2,04/03/2022
645,8.37,2,04/03/2022
646,23.86,3,04/03/2022
647,14.72,2,04/03/2022
648,18.02,2,04/03/2022
649,13.86,4,04/03/2022
650,10.18,4,04/03/2022
651,19.46,3,04/03/2022
652,5.08,3,04/03/2022
653,23.24,2,04/03/2022
654,8.38,3,04/03/2022
655,12.17,4,04/03/2022
656,16.35,4,04/03/2022
657,11.37,1,04/03/2022
658,12.83,4,04/03/2022
659,8.67,1,04/03/2022
660,22.21,4,04/03/2022
661,15.63,3,04/03/2022
662,11.17,3,04/03/2022
663,11.18,3,04/03/2022
664,6.29,1,04/03/2022
665,15.29,1,04/03/2022
666,15.78,3,04/03/2022
667,9.43,2,04/03/2022
668,11.03,1,04/03/2022
669,20.48,2,04/03/2022
670,14.8,2,04/03/2022
671,7.47,2,04/03/2022
672,7.04,1,04/03/2022
673,13.05,2,04/03/2022
674,2.69,1,04/03/2022
675,13.84,1,04/03/2022
676,16.53,2,04/03/2022
677,11.23,1,04/03/2022
678,17.99,4,04/03/2022
679,28.94,1,04/03/2022
680,11.82,2,04/03/2022
681,16.33,4,04/03/2022
682,13.66,1,04/03/2022
683,13.63,3,04/03/2022
684,2.39,2,04/03/2022
685,6.29,1,04/03/2022
686,17.16,4,04/03/2022
687,20.75,2,04/03/2022
688,15.08,2,04/03/2022
689,11.58,3,04/03/2022
690,11.93,4,04/03/2022
691,2.09,2,04/03/2022
692,20.49,1,04/03/2022
693,26.5,3,04/03/2022
694,25.38,3,04/03/2022
695,27.38,2,04/03/2022
696,14.26,3,04/03/2022
697,12.24,2,04/03/2022
698,16.03,4,04/03/2022
699,27.4,2,04/03/2022
700,9.45,2,04/03/2022
701,22.72,4,04/03/2022
702,5.84,3,04/03/2022
703,14.0,1,04/03/2022
704,15.73,4,04/03/2022
705,6.08,1,04/03/2022
706,9.07,3,04/03/2022
707,20.75,1,04/03/2022
708,14.67,4,04/03/2022
709,22.33,2,04/03/2022
710,26.25,1,04/03/2022
711,15.45,1,04/03/2022
712,12.96,3,04/03/2022
713,18.82,3,04/03/2022
714,23.32,4,04/03/2022
715,4.19,3,04/03/2022
716,18.53,4,04/03/2022
717,5.28,2,04/03/2022
718,17.52,3,04/03/2022
719,14.67,3,04/03/2022
720,3.78,2,04/03/2022
721,9.67,2,04/03/2022
722,4.08,2,04/03/2022
723,9.14,1,04/03/2022
724,35.33,2,04/03/2022
725,16.16,1,04/03/2022
726,19.13,2,04/03/2022
727,11.74,4,04/03/2022
728,14.52,2,04/03/2022
729,14.73,2,04/03/2022
730,24.81,3,04/03/2022
731,19.98,2,04/03/2022
732,18.85,3,04/03/2022
733,5.18,1,04/03/2022
734,8.74,2,04/03/2022
735,14.27,3,04/03/2022
736,6.15,2,04/03/2022
737,8.74,4,04/03/2022
738,15.13,1,04/03/2022
739,4.28,4,04/03/2022
740,16.62,3,04/03/2022
741,10.87,1,04/03/2022
742,7.74,1,04/03/2022
743,10.34,1,04/03/2022
744,5.77,2,04/03/2022
745,15.73,2,04/03/2022
746,14.86,4,04/03/2022
747,11.16,3,04/03/2022
748,9.97,3,04/03/2022
749,20.15,1,04/03/2022
750,2.89,1,04/03/2022
751,19.73,2,04/03/2022
752,3.58,3,04/03/2022
753,22.32,3,04/03/2022
754,14.63,1,04/03/2022
755,13.56,4,04/03/2022
756,17.77,4,04/03/2022
757,10.83,2,04/03/2022
758,18.53,3,04/03/2022
759,6.29,4,04/03/2022
760,14.92,1,04/03/2022
761,25.16,4,04/03/2022
762,16.62,4,04/03/2022
763,15.25,4,04/03/2022
764,8.68,2,04/03/2022
765,15.25,2,04/03/2022
766,21.01,4,04/03/2022
767,13.17,2,04/03/2022
768,8.77,2,04/03/2022
769,8.14,3,04/03/2022
770,15.93,4,04/03/2022
771,18.33,3,04/03/2022
772,22.92,1,04/03/2022
773,4.19,2,04/03/2022
774,31.52,2,04/03/2022
775,11.44,4,04/03/2022
776,17.05,2,04/03/2022
777,19.08,3,04/03/2022
778,13.36,3,04/03/2022
779,13.73,2,04/03/2022
780,9.45,2,04/03/2022
781,8.47,2,04/03/2022
782,13.33,4,04/03/2022
783,14.07,1,04/03/2022
784,16.82,1,04/03/2022
785,9.47,1,04/03/2022
786,14.27,3,04/03/2022
787,27.11,1,04/03/2022
788,8.97,1,04/03/2022
789,19.08,4,04/03/2022
790,17.22,1,04/03/2022
791,11.03,3,04/03/2022
792,13.57,3,04/03/2022
793,4.55,3,04/03/2022
794,15.93,3,04/03/2022
795,2.39,4,04/03/2022
796,24.67,2,04/03/2022
797,8.87,4,04/03/2022
798,8.06,3,04/03/2022
799,9.53,2,04/03/2022
800,18.22,3,04/04/2022
801,5.78,2,04/04/2022
802,17.69,1,04/04/2022
803,9.33,2,04/04/2022
804,8.87,2,04/04/2022
805,17.07,2,04/04/2022
806,10.84,1,04/04/2022
807,10.07,3,04/04/2022
808,8.08,1,04/04/2022
809,9.45,1,04/04/2022
810,12.17,4,04/04/2022
811,32.32,2,04/04/2022
812,7.69,1,04/04/2022
813,9.93,2,04/04/2022
814,2.19,3,04/04/2022
815,11.74,3,04/04/2022
816,21.02,4,04/04/2022
817,2.29,1,04/04/2022
818,14.23,4,04/04/2022
819,10.07,3,04/04/2022
820,21.29,1,04/04/2022
821,19.47,2,04/04/2022
822,23.91,4,04/04/2022
823,17.66,3,04/04/2022
824,23.48,1,04/04/2022
825,13.24,1,04/04/2022
826,14.67,3,04/04/2022
827,21.54,3,04/04/2022
828,6.48,3,04/04/2022
829,17.63,1,04/04/2022
830,13.86,2,04/04/2022
831,25.0,2,04/04/2022
832,22.82,1,04/04/2022
833,20.82,1,04/04/2022
834,9.14,3,04/04/2022
835,26.89,3,04/04/2022
836,10.46,2,04/04/2022
837,29.6,4,04/04/2022
838,8.14,2,04/04/2022
839,5.68,3,04/04/2022
840,10.74,1,04/04/2022
841,17.02,1,04/04/2022
842,14.26,3,04/04/2022
843,15.6,2,04/04/2022
844,20.02,1,04/04/2022
845,9.98,3,04/04/2022
846,19.59,2,04/04/2022
847,5.38,3,04/04/2022
848,13.96,3,04/04/2022
849,12.17,2,04/04/2022
850,21.61,2,04/04/2022
851,22.62,1,04/04/2022
852,11.5,4,04/04/2022
853,7.68,1,04/04/2022
854,15.72,1,04/04/2022
855,15.73,2,04/04/2022
856,14.44,3,04/04/2022
857,8.57,4,04/04/2022
858,13.86,1,04/04/2022
859,12.16,1,04/04/2022
860,13.32,2,04/04/2022
861,7.97,1,04/04/2022
862,15.41,4,04/04/2022
863,2.39,1,04/04/2022
864,6.28,2,04/04/2022
865,19.13,2,04/04/2022
866,11.94,2,04/04/2022
867,9.97,3,04/04/2022
868,23.87,1,04/04/2022
869,18.21,2,04/04/2022
870,7.24,3,04/04/2022
871,24.16,3,04/04/2022
872,19.67,1,04/04/2022
873,21.97,4,04/04/2022
874,26.41,4,04/04/2022
875,7.69,4,04/04/2022
876,11.19,4,04/04/2022
877,4.19,1,04/04/2022
878,16.71,1,04/04/2022
879,26.25,2,04/04/2022
880,24.5,4,04/04/2022
881,6.88,2,04/04/2022
882,6.18,1,04/04/2022
883,8.67,3,04/04/2022
884,10.23,3,04/04/2022
885,20.05,2,04/04/2022
886,14.82,2,04/04/2022
887,2.09,2,04/04/2022
888,24.41,1,04/04/2022
889,9.18,4,04/04/2022
890,9.93,3,04/04/2022
891,32.78,2,04/04/2022
892,7.18,3,04/04/2022
893,2.39,4,04/04/2022
894,8.87,3,04/04/2022
895,15.43,3,04/04/2022
896,4.49,2,04/04/2022
897,11.93,3,04/04/2022
898,6.28,2,04/04/2022
899,15.26,2,04/04/2022
900,13.33,4,04/04/2022
901,19.28,4,04/04/2022
902,15.13,4,04/04/2022
903,6.58,4,04/04/2022
904,27.01,4,04/04/2022
905,13.83,4,04/04/2022
906,32.59,3,04/04/2022
907,27.7,4,04/04/2022
908,2.29,4,04/04/2022
909,5.18,4,04/04/2022
910,17.42,3,04/04/2022
911,1.29,1,04/04/2022
912,17.02,1,04/04/2022
913,8.34,1,04/04/2022
914,12.56,2,04/04/2022
915,18.61,4,04/04/2022
916,17.66,4,04/04/2022
917,9.98,4,04/04/2022
918,11.74,1,04/04/2022
919,4.55,3,04/04/2022
920,21.51,1,04/04/2022
921,8.67,1,04/04/2022
922,12.43,2,04/04/2022
923,20.51,4,04/04/2022
924,16.72,4,04/04/2022
925,18.22,1,04/04/2022
926,14.87,2,04/04/2022
927,12.73,2,04/04/2022
928,11.99,1,04/04/2022
929,11.53,4,04/04/2022
930,5.19,4,04/04/2022
